clade_name	SRS013942	SRS014468	SRS014692	SRS015055	SRS019120	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	DRR214959	DRR214960	DRR214961	DRR214962	DRR241310
d__Bacteria	2474383	593325	3500545	2026328	2354716	1210859	3217404	3986165	2920122	1478213	3256215	3218632	4204506	5032797	2340393	131040241	95440716	111041482	92889882	26097229
d__Bacteria|p__Coprothermobacterota	0	2	0	5	0	0	4	1	4	1	0	0	1	1	1	42	8	35	131	4
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria	0	2	0	5	0	0	4	1	4	1	0	0	1	1	1	42	8	35	131	4
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales	0	2	0	5	0	0	4	1	4	1	0	0	1	1	1	42	8	35	131	4
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae	0	2	0	5	0	0	4	1	4	1	0	0	1	1	1	42	8	35	131	4
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter	0	2	0	5	0	0	4	1	4	1	0	0	1	1	1	42	8	35	131	4
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter|s__Coprothermobacter_proteolyticus	0	2	0	5	0	0	4	1	4	1	0	0	1	1	1	42	8	35	131	4
d__Bacteria|p__Caldiserica	10	2	9	8	3	3	5	22	2	0	11	17	6	16	1	60	16	58	38	3
d__Bacteria|p__Caldiserica|c__Caldisericia	10	2	9	8	3	3	5	22	2	0	11	17	6	16	1	60	16	58	38	3
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	10	2	9	8	3	3	5	22	2	0	11	17	6	16	1	60	16	58	38	3
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae	10	2	9	8	3	3	5	22	2	0	11	17	6	16	1	60	16	58	38	3
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum	10	2	9	8	3	3	5	22	2	0	11	17	6	16	1	60	16	58	38	3
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum_exile	10	2	9	8	3	3	5	22	2	0	11	17	6	16	1	60	16	58	38	3
d__Bacteria|p__Chrysiogenetes	10	3	40	10	11	8	9	11	2	0	9	13	16	11	5	848	170	680	305	121
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	10	3	40	10	11	8	9	11	2	0	9	13	16	11	5	848	170	680	305	121
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	10	3	40	10	11	8	9	11	2	0	9	13	16	11	5	848	170	680	305	121
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae	10	3	40	10	11	8	9	11	2	0	9	13	16	11	5	848	170	680	305	121
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum	10	3	40	10	11	8	9	11	2	0	9	13	16	11	5	848	170	680	305	121
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum|s__Desulfurispirillum_indicum	10	3	40	10	11	8	9	11	2	0	9	13	16	11	5	848	170	680	305	121
d__Bacteria|p__Elusimicrobia	6	4	42	18	2	14	33	48	32	7	22	18	34	49	7	347	137	593	115	15
d__Bacteria|p__Elusimicrobia|s__uncultured_Termite_group_1_bacterium	0	0	0	0	0	5	8	11	6	3	7	3	4	0	0	53	31	10	11	1
d__Bacteria|p__Elusimicrobia|c__Endomicrobia	5	4	26	0	0	6	4	16	13	1	7	10	21	38	4	273	94	348	68	12
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales	5	4	26	0	0	6	4	16	13	1	7	10	21	38	4	273	94	348	68	12
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae	5	4	26	0	0	6	4	16	13	1	7	10	21	38	4	273	94	348	68	12
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium	5	4	26	0	0	6	4	16	13	1	7	10	21	38	4	273	94	348	68	12
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Candidatus_Endomicrobium_trichonymphae	0	0	0	0	0	2	0	5	6	1	3	1	13	20	0	80	66	235	31	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Endomicrobium_proavitum	5	4	26	0	0	4	4	11	7	0	4	9	8	17	4	193	28	113	37	12
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia	1	0	16	18	2	2	20	20	12	2	7	4	8	11	3	20	11	234	35	1
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	1	0	16	18	2	2	20	20	12	2	7	4	8	11	3	20	11	234	35	1
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae	1	0	16	18	2	2	20	20	12	2	7	4	8	11	3	20	11	234	35	1
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium	1	0	16	18	2	2	20	20	12	2	7	4	8	11	3	20	11	234	35	1
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_minutum	1	0	16	18	2	2	20	20	12	2	7	4	8	11	3	20	11	234	35	1
d__Bacteria|p__Dictyoglomi	5	0	17	17	11	9	14	53	18	7	18	29	63	53	9	914	427	226	156	44
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia	5	0	17	17	11	9	14	53	18	7	18	29	63	53	9	914	427	226	156	44
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales	5	0	17	17	11	9	14	53	18	7	18	29	63	53	9	914	427	226	156	44
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae	5	0	17	17	11	9	14	53	18	7	18	29	63	53	9	914	427	226	156	44
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus	5	0	17	17	11	9	14	53	18	7	18	29	63	53	9	914	427	226	156	44
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_turgidum	3	0	9	6	4	3	9	21	7	2	3	10	35	23	2	413	170	116	80	20
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_thermophilum	2	0	8	10	7	5	5	32	11	5	15	18	27	29	7	500	256	109	76	23
d__Bacteria|p__Thermodesulfobacteria	14	5	32	47	10	23	44	85	56	2	63	60	76	76	31	1316	812	1110	324	97
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	14	5	32	47	10	23	44	85	56	2	63	60	76	76	31	1316	812	1110	324	97
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	14	5	32	47	10	23	44	85	56	2	63	60	76	76	31	1316	812	1110	324	97
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae	14	5	32	47	10	23	44	85	56	2	63	60	76	76	31	1316	812	1110	324	97
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium	0	0	8	8	4	4	5	13	10	0	6	7	14	15	9	408	194	332	57	46
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium|s__Caldimicrobium_thiodismutans	0	0	8	8	4	4	5	13	10	0	6	7	14	15	9	408	194	332	57	46
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator	0	2	1	10	3	7	7	25	20	0	26	17	30	11	8	171	154	218	56	15
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator|s__Thermodesulfatator_indicus	0	2	1	10	3	7	7	25	20	0	26	17	30	11	8	171	154	218	56	15
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium	14	3	23	29	3	12	32	47	26	2	31	36	32	50	14	737	463	560	210	36
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_commune	1	0	4	5	1	2	11	9	13	0	5	4	4	7	4	188	244	54	33	3
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_sp._TA1	1	0	5	6	1	1	7	7	2	0	0	9	5	6	4	275	164	97	35	16
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_geofontis	11	3	14	18	1	9	14	31	11	2	26	23	23	37	6	273	54	408	141	17
d__Bacteria|p__Calditrichaeota	2	9	31	27	14	5	25	63	10	0	0	40	17	15	5	320	180	285	186	73
d__Bacteria|p__Calditrichaeota|c__Calditrichae	2	9	31	27	14	5	25	63	10	0	0	40	17	15	5	320	180	285	186	73
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales	2	9	31	27	14	5	25	63	10	0	0	40	17	15	5	320	180	285	186	73
