clade_name	A10	A11	A13	A14	A16	A17	A18	A19	A1	A2	A3	A4	A5	A6	A7	A8	A9	DRR214959	DRR214960	DRR214961	DRR214962	DRR241310	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRS013942	SRS014468	SRS014692	SRS015055	SRS019120
d__Bacteria	2481649	1218224	3730250	926857	1402014	261505	1120216	333036	8450827	8292395	1442299	3612212	1396161	7942250	1055132	3066103	2793220	131040241	95440716	111041482	92889882	26097229	1210859	3217404	3986165	2920122	1478213	3256215	3218632	4204506	5032797	2340393	2474383	593325	3500545	2026328	2354716
d__Bacteria|p__Coprothermobacterota	3	2	35	6	5	2	0	6	14	18	2	8	9	10	1	3	5	42	8	35	131	4	0	4	1	4	1	0	0	1	1	1	0	2	0	5	0
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria	3	2	35	6	5	2	0	6	14	18	2	8	9	10	1	3	5	42	8	35	131	4	0	4	1	4	1	0	0	1	1	1	0	2	0	5	0
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales	3	2	35	6	5	2	0	6	14	18	2	8	9	10	1	3	5	42	8	35	131	4	0	4	1	4	1	0	0	1	1	1	0	2	0	5	0
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae	3	2	35	6	5	2	0	6	14	18	2	8	9	10	1	3	5	42	8	35	131	4	0	4	1	4	1	0	0	1	1	1	0	2	0	5	0
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter	3	2	35	6	5	2	0	6	14	18	2	8	9	10	1	3	5	42	8	35	131	4	0	4	1	4	1	0	0	1	1	1	0	2	0	5	0
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter|s__Coprothermobacter_proteolyticus	3	2	35	6	5	2	0	6	14	18	2	8	9	10	1	3	5	42	8	35	131	4	0	4	1	4	1	0	0	1	1	1	0	2	0	5	0
d__Bacteria|p__Caldiserica	9	10	25	13	6	26	7	6	94	99	17	23	19	96	4	29	17	60	16	58	38	3	3	5	22	2	0	11	17	6	16	1	10	2	9	8	3
d__Bacteria|p__Caldiserica|c__Caldisericia	9	10	25	13	6	26	7	6	94	99	17	23	19	96	4	29	17	60	16	58	38	3	3	5	22	2	0	11	17	6	16	1	10	2	9	8	3
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	9	10	25	13	6	26	7	6	94	99	17	23	19	96	4	29	17	60	16	58	38	3	3	5	22	2	0	11	17	6	16	1	10	2	9	8	3
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae	9	10	25	13	6	26	7	6	94	99	17	23	19	96	4	29	17	60	16	58	38	3	3	5	22	2	0	11	17	6	16	1	10	2	9	8	3
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum	9	10	25	13	6	26	7	6	94	99	17	23	19	96	4	29	17	60	16	58	38	3	3	5	22	2	0	11	17	6	16	1	10	2	9	8	3
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum_exile	9	10	25	13	6	26	7	6	94	99	17	23	19	96	4	29	17	60	16	58	38	3	3	5	22	2	0	11	17	6	16	1	10	2	9	8	3
d__Bacteria|p__Chrysiogenetes	11	8	33	7	2	6	1	3	54	56	14	29	15	31	5	3	14	848	170	680	305	121	8	9	11	2	0	9	13	16	11	5	10	3	40	10	11
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	11	8	33	7	2	6	1	3	54	56	14	29	15	31	5	3	14	848	170	680	305	121	8	9	11	2	0	9	13	16	11	5	10	3	40	10	11
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	11	8	33	7	2	6	1	3	54	56	14	29	15	31	5	3	14	848	170	680	305	121	8	9	11	2	0	9	13	16	11	5	10	3	40	10	11
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae	11	8	33	7	2	6	1	3	54	56	14	29	15	31	5	3	14	848	170	680	305	121	8	9	11	2	0	9	13	16	11	5	10	3	40	10	11
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum	11	8	33	7	2	6	1	3	54	56	14	29	15	31	5	3	14	848	170	680	305	121	8	9	11	2	0	9	13	16	11	5	10	3	40	10	11
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum|s__Desulfurispirillum_indicum	11	8	33	7	2	6	1	3	54	56	14	29	15	31	5	3	14	848	170	680	305	121	8	9	11	2	0	9	13	16	11	5	10	3	40	10	11
d__Bacteria|p__Elusimicrobia	25	26	98	31	25	14	23	12	144	100	32	41	42	187	15	28	26	347	137	593	115	15	14	33	48	32	7	22	18	34	49	7	6	4	42	18	2
d__Bacteria|p__Elusimicrobia|s__uncultured_Termite_group_1_bacterium	0	13	45	0	9	0	0	0	32	19	7	17	0	20	0	0	0	53	31	10	11	1	5	8	11	6	3	7	3	4	0	0	0	0	0	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia	12	2	40	19	7	10	18	7	73	63	12	16	32	101	10	27	18	273	94	348	68	12	6	4	16	13	1	7	10	21	38	4	5	4	26	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales	12	2	40	19	7	10	18	7	73	63	12	16	32	101	10	27	18	273	94	348	68	12	6	4	16	13	1	7	10	21	38	4	5	4	26	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae	12	2	40	19	7	10	18	7	73	63	12	16	32	101	10	27	18	273	94	348	68	12	6	4	16	13	1	7	10	21	38	4	5	4	26	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium	12	2	40	19	7	10	18	7	73	63	12	16	32	101	10	27	18	273	94	348	68	12	6	4	16	13	1	7	10	21	38	4	5	4	26	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Candidatus_Endomicrobium_trichonymphae	0	0	15	0	0	8	12	0	25	0	0	5	0	43	7	10	0	80	66	235	31	0	2	0	5	6	1	3	1	13	20	0	0	0	0	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Endomicrobium_proavitum	12	2	25	19	7	1	5	7	48	63	12	11	32	58	2	16	18	193	28	113	37	12	4	4	11	7	0	4	9	8	17	4	5	4	26	0	0
