clade_name	A10	A11	A13	A14	A16	A17	A18	A19	A1	A24	A25	A26	A27	A28	A2	A30	A34	A35	A38	A39	A3	A40	A4	A5	A6	A7	A8	A9
d__Bacteria	2481649	1218224	3730250	926857	1402014	261505	1120216	333036	8450827	41564152	2277943	22273856	3765602	1293968	8292395	9997512	1885116	2341519	2201122	739556	1442299	27563453	3612212	1396161	7942250	1055132	3066103	2793220
d__Bacteria|p__Coprothermobacterota	3	2	35	6	5	2	0	6	14	53	7	30	2	3	18	15	9	1	1	7	2	75	8	9	10	1	3	5
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria	3	2	35	6	5	2	0	6	14	53	7	30	2	3	18	15	9	1	1	7	2	75	8	9	10	1	3	5
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales	3	2	35	6	5	2	0	6	14	53	7	30	2	3	18	15	9	1	1	7	2	75	8	9	10	1	3	5
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae	3	2	35	6	5	2	0	6	14	53	7	30	2	3	18	15	9	1	1	7	2	75	8	9	10	1	3	5
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter	3	2	35	6	5	2	0	6	14	53	7	30	2	3	18	15	9	1	1	7	2	75	8	9	10	1	3	5
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter|s__Coprothermobacter_proteolyticus	3	2	35	6	5	2	0	6	14	53	7	30	2	3	18	15	9	1	1	7	2	75	8	9	10	1	3	5
d__Bacteria|p__Caldiserica	9	10	25	13	6	26	7	6	94	78	16	93	9	37	99	32	70	11	6	17	17	59	23	19	96	4	29	17
d__Bacteria|p__Caldiserica|c__Caldisericia	9	10	25	13	6	26	7	6	94	78	16	93	9	37	99	32	70	11	6	17	17	59	23	19	96	4	29	17
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	9	10	25	13	6	26	7	6	94	78	16	93	9	37	99	32	70	11	6	17	17	59	23	19	96	4	29	17
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae	9	10	25	13	6	26	7	6	94	78	16	93	9	37	99	32	70	11	6	17	17	59	23	19	96	4	29	17
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum	9	10	25	13	6	26	7	6	94	78	16	93	9	37	99	32	70	11	6	17	17	59	23	19	96	4	29	17
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum_exile	9	10	25	13	6	26	7	6	94	78	16	93	9	37	99	32	70	11	6	17	17	59	23	19	96	4	29	17
